site_no,date_time,height_ft,discharge_cfs,station_nm,lat,long,coord_datum
08165300,2025-07-04T16:30:00Z,7.51,5450,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-04T16:45:00Z,7.66,5740,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-04T17:00:00Z,7.69,5790,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-04T17:15:00Z,7.68,5780,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-04T17:30:00Z,7.66,5740,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-04T17:45:00Z,7.64,5700,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-04T18:00:00Z,7.62,5660,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-04T18:15:00Z,7.6,5620,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-04T18:30:00Z,7.59,5600,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-04T18:45:00Z,7.54,5500,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-04T19:00:00Z,7.44,5320,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-04T19:15:00Z,7.29,5040,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-04T19:30:00Z,7.13,4750,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-04T19:45:00Z,6.95,4440,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-04T20:00:00Z,6.76,4130,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-04T20:15:00Z,6.58,3840,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-04T20:30:00Z,6.41,3580,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-04T20:45:00Z,6.26,3360,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-04T21:00:00Z,6.14,3190,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-04T21:15:00Z,6.05,3060,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
08165300,2025-07-04T21:30:00Z,5.97,2960,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175,NAD83
