year,state,injuries_direct,deaths_direct
1996,Texas,4,6
1997,Texas,238,19
1998,Texas,4507,40
1999,Texas,7,2
2000,Texas,12,9
2001,Texas,233,9
2002,Texas,41,12
2003,Texas,1,2
2004,Texas,11,14
2005,Texas,0,1
2006,Texas,2,8
2007,Texas,3,43
2008,Texas,0,2
2009,Texas,1,6
2010,Texas,2,11
2011,Texas,0,0
2012,Texas,0,2
2013,Texas,0,11
2014,Texas,1,4
2015,Texas,5,43
2016,Texas,3,34
2017,Texas,1,68
2018,Texas,6,11
2019,Texas,1,11
2020,Texas,0,1
2021,Texas,4,7
2022,Texas,0,1
2023,Texas,0,3
2024,Texas,0,5
